Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
-----------------------------------------------
                0.03    0.04     871/64484       main [1]
                0.03    0.04     879/64484       show_nowplaying(char const*, char const*) [4]
                2.44    3.19   62734/64484       show_topbar(char const*) [11]
[23]     2.0    2.51    3.28   64484         PMC_FONT::printf(float, float, char const*, ...) [23]
                3.28    0.00   64484/748139      PMC_FONT::print(char const*, float, float, float, int) [9]
-----------------------------------------------
                3.52    1.94       7/7           load_tga(char const*, bool) [21]
[24]     1.9    3.52    1.94       7         tga_readPixelsBuf(int, Pmc_Image*, TARGAHEAD*) [24]
                0.79    1.14  554098/554098      BGRA8(unsigned char, unsigned char, unsigned char, unsigned char) [33]
-----------------------------------------------
                1.47    3.49  287462/287462      show_nowplaying(char const*, char const*) [4]
[25]     1.7    1.47    3.49  287462         PMC_PLAYER::get_str(int) [25]
                1.87    0.19   41066/41074       PMC_PLAYER::get_time() [31]
                0.80    0.00   82132/82132       pmc_itoa [53]
                0.56    0.00   32151/53542       AUDIO_DECODERS::get_int(int) [49]
                0.08    0.00   42868/42868       AUDIO_DECODERS::get_str(int) [100]
-----------------------------------------------
                0.01    4.65    2929/2929        audio_main(unsigned int, void*) [6]
[26]     1.6    0.01    4.65    2929         PMC_PLAYER::sceaudio_callback(void*, int&, AVPacket&) [26]
                0.08    4.58    2932/26138       AUDIO_DECODERS::decode(short*, AVPacket*, int) [7]
-----------------------------------------------
                3.90    0.00  564109/564109      Pmc_ImageTile::draw(short, short) [20]
[27]     1.4    3.90    0.00  564109         image_vertex* gu_allocVert<image_vertex>(int) [27]
-----------------------------------------------
                0.06    0.42   20551/124351      show_filelist(bool) [3]
                0.12    0.84   41066/124351      show_nowplaying(char const*, char const*) [4]
                0.18    1.28   62734/124351      show_topbar(char const*) [11]
[28]     1.0    0.35    2.53  124351         Pmc_ImageTile::draw_strip(short, short) [28]
                2.18    0.00  124351/125222      image_vertex* gu_allocVertC<image_vertex>(int) [30]
                0.35    0.00  124351/689345      Pmc_Image::isValid() [32]
-----------------------------------------------
                0.00    2.36      14/14          show_nowplaying(char const*, char const*) [4]
[29]     0.8    0.00    2.36      14         PMC_PLAYER::open(char const*, char const*) [29]
                1.57    0.02      14/15          PMC_PLAYER::close() [36]
                0.00    0.77      14/14          AUDIO_DECODERS::open(AVCodecContext*, char const*, AVIOContext*, int) [54]
                0.01    0.00      14/44933       av_malloc [15]
                0.00    0.00      10/53542       AUDIO_DECODERS::get_int(int) [49]
                0.00    0.00      14/58          get_ext(char const*) [3513]
                0.00    0.00       5/5           check_ifwma [180]
-----------------------------------------------
                0.02    0.00     871/125222      Pmc_Image::draw_strip(short, short) [129]
                2.18    0.00  124351/125222      Pmc_ImageTile::draw_strip(short, short) [28]
[30]     0.8    2.20    0.00  125222         image_vertex* gu_allocVertC<image_vertex>(int) [30]
-----------------------------------------------
                0.00    0.00       8/41074       show_nowplaying(char const*, char const*) [4]
                1.87    0.19   41066/41074       PMC_PLAYER::get_str(int) [25]
[31]     0.7    1.87    0.19   41074         PMC_PLAYER::get_time() [31]
                0.19    0.00   10718/53542       AUDIO_DECODERS::get_int(int) [49]
-----------------------------------------------
                0.00    0.00       7/689345      Pmc_Image::swizzle() [98]
                0.00    0.00       7/689345      alloc_tgaSpace(int, TARGAHEAD*) [86]
                0.00    0.00     871/689345      Pmc_Image::draw_strip(short, short) [129]
                0.35    0.00  124351/689345      Pmc_ImageTile::draw_strip(short, short) [28]
                1.60    0.00  564109/689345      Pmc_ImageTile::draw(short, short) [20]
[32]     0.7    1.96    0.00  689345         Pmc_Image::isValid() [32]
-----------------------------------------------
                0.79    1.14  554098/554098      tga_readPixelsBuf(int, Pmc_Image*, TARGAHEAD*) [24]
[33]     0.7    0.79    1.14  554098         BGRA8(unsigned char, unsigned char, unsigned char, unsigned char) [33]
                1.14    0.00  554098/554098      RGBA8(unsigned char, unsigned char, unsigned char, unsigned char) [42]
-----------------------------------------------
                0.00    0.00     494/583896      show_notdone() [62]
                0.00    0.00     872/583896      main [1]
                0.07    0.00   20551/583896      show_filelist(bool) [3]
                0.20    0.00   62734/583896      print_time(float, float, float, unsigned int, unsigned int, unsigned int) [19]
                0.20    0.00   62734/583896      print_date(float, float, float, unsigned int, unsigned int, unsigned int) [22]
                0.40    0.00  124097/583896      show_nowplaying(char const*, char const*) [4]
                0.41    0.00  125468/583896      show_topbar(char const*) [11]
                0.61    0.00  186946/583896      void PMC_LIST::print<DIR_ENTRY>(unsigned int, unsigned int, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&) [18]
[34]     0.7    1.90    0.00  583896         PMC_FONT::set_style(float, unsigned int, unsigned int, unsigned int) [34]
-----------------------------------------------
                0.53    0.00   41066/136347      draw_fillRect(unsigned int, int, int, int, int) [56]
                1.24    0.00   95281/136347      draw_colorRect(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int) [39]
[35]     0.6    1.77    0.00  136347         shape_vertex* gu_allocVert<shape_vertex>(int) [35]
-----------------------------------------------
                0.11    0.00       1/15          show_nowplaying(char const*, char const*) [4]
                1.57    0.02      14/15          PMC_PLAYER::open(char const*, char const*) [29]
[36]     0.6    1.68    0.02      15         PMC_PLAYER::close() [36]
                0.00    0.02      15/15          AUDIO_DECODERS::close() [128]
-----------------------------------------------
                1.54    0.00  125468/125468      show_topbar(char const*) [11]
[37]     0.5    1.54    0.00  125468         battery_percent [37]
-----------------------------------------------
                0.00    0.00    1976/609900      show_notdone() [62]
                0.02    0.00    7833/609900      main [1]
                0.15    0.00   62734/609900      show_topbar(char const*) [11]
                0.48    0.00  207930/609900      show_filelist(bool) [3]
                0.77    0.00  329427/609900      show_nowplaying(char const*, char const*) [4]
[38]     0.5    1.42    0.00  609900         RGB(unsigned char, unsigned char, unsigned char, unsigned char) [38]
-----------------------------------------------
                0.00    0.01     494/95281       show_notdone() [62]
                0.00    0.02    1740/95281       main [1]
                0.06    0.53   41066/95281       show_nowplaying(char const*, char const*) [4]
                0.08    0.68   51981/95281       show_filelist(bool) [3]
[39]     0.5    0.15    1.24   95281         draw_colorRect(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int) [39]
                1.24    0.00   95281/136347      shape_vertex* gu_allocVert<shape_vertex>(int) [35]
-----------------------------------------------
                1.18    0.19   40187/40187       show_nowplaying(char const*, char const*) [4]
[40]     0.5    1.18    0.19   40187         PMC_PLAYER::get_percentRemaining() [40]
                0.19    0.00   10662/53542       AUDIO_DECODERS::get_int(int) [49]
-----------------------------------------------
                0.00    0.00      84/404230      std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::_M_check_len(unsigned int, char const*) const [169]
                0.00    0.00     114/404230      go_UpOneDir(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, PMC_LIST&, unsigned int&, unsigned int&) [72]
                0.56    0.00  196490/404230      void PMC_LIST::print<DIR_ENTRY>(unsigned int, unsigned int, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&) [18]
                0.59    0.00  207542/404230      show_filelist(bool) [3]
[41]     0.4    1.15    0.00  404230         std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::size() const [41]
-----------------------------------------------
                1.14    0.00  554098/554098      BGRA8(unsigned char, unsigned char, unsigned char, unsigned char) [33]
[42]     0.4    1.14    0.00  554098         RGBA8(unsigned char, unsigned char, unsigned char, unsigned char) [42]
-----------------------------------------------
                0.00    1.04       7/7           __do_global_ctors_aux [46]
[43]     0.4    0.00    1.04       7         global constructors keyed to ctrl [43]
                0.00    1.04       1/1           __static_initialization_and_destruction_0(int, int) [44]
-----------------------------------------------
                0.00    1.04       1/1           global constructors keyed to ctrl [43]
[44]     0.4    0.00    1.04       1         __static_initialization_and_destruction_0(int, int) [44]
                1.04    0.00       1/1           Pmc_Ctrl::Pmc_Ctrl() [45]
-----------------------------------------------
                1.04    0.00       1/1           __static_initialization_and_destruction_0(int, int) [44]
[45]     0.4    1.04    0.00       1         Pmc_Ctrl::Pmc_Ctrl() [45]
-----------------------------------------------
                                                 <spontaneous>
[46]     0.4    0.00    1.04                 __do_global_ctors_aux [46]
                0.00    1.04       7/7           global constructors keyed to ctrl [43]
-----------------------------------------------
                0.00    0.00      19/61782       go_UpOneDir(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, PMC_LIST&, unsigned int&, unsigned int&) [72]
                0.00    0.00      45/61782       push_folder(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, char const*) [59]
                0.05    0.27   20551/61782       void PMC_LIST::print<DIR_ENTRY>(unsigned int, unsigned int, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&) [18]
                0.10    0.54   41167/61782       show_filelist(bool) [3]
[47]     0.3    0.16    0.81   61782         std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::empty() const [47]
                0.09    0.26   61782/61782       bool __gnu_cxx::operator==<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&) [67]
                0.12    0.12   61782/61782       std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::begin() const [74]
                0.11    0.12   61782/61782       std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::end() const [75]
-----------------------------------------------
                                                 <spontaneous>
[48]     0.3    0.00    0.97                 find_headers_search_validate [48]
                0.97    0.00    2334/44933       av_malloc [15]
-----------------------------------------------
                0.00    0.00       1/53542       PMC_PLAYER::seek(long long) [137]
                0.00    0.00      10/53542       PMC_PLAYER::open(char const*, char const*) [29]
                0.19    0.00   10662/53542       PMC_PLAYER::get_percentRemaining() [40]
                0.19    0.00   10718/53542       PMC_PLAYER::get_time() [31]
                0.56    0.00   32151/53542       PMC_PLAYER::get_str(int) [25]
[49]     0.3    0.93    0.00   53542         AUDIO_DECODERS::get_int(int) [49]
-----------------------------------------------
                0.36    0.56  205330/205330      show_nowplaying(char const*, char const*) [4]
[50]     0.3    0.36    0.56  205330         PMC_FONT::get_height() [50]
                0.56    0.00  205330/295675      PMC_FONT::get_ySize() [52]
-----------------------------------------------
                0.16    0.66       1/1           main [1]
[51]     0.3    0.16    0.66       1         PMC_SETTINGS::refresh() [51]
                0.00    0.51       7/7           std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::push_back(NEEDED_EXT const&) [63]
                0.00    0.12      11/11          int pmc_minmax<int>(int, int, int) [82]
                0.00    0.02       1/1           std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::clear() [125]
                0.00    0.00       1/8           NEEDED_EXT::~NEEDED_EXT() [134]
                0.00    0.00       7/18          int pmc_max<int>(int, int) [3523]
                0.00    0.00       1/1           NEEDED_EXT::NEEDED_EXT() [3561]
                0.00    0.00       1/1           std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::empty() const [3575]
-----------------------------------------------
                0.25    0.00   90345/295675      show_filelist(bool) [3]
                0.56    0.00  205330/295675      PMC_FONT::get_height() [50]
[52]     0.3    0.81    0.00  295675         PMC_FONT::get_ySize() [52]
-----------------------------------------------
                0.80    0.00   82132/82132       PMC_PLAYER::get_str(int) [25]
[53]     0.3    0.80    0.00   82132         pmc_itoa [53]
-----------------------------------------------
                0.00    0.77      14/14          PMC_PLAYER::open(char const*, char const*) [29]
[54]     0.3    0.00    0.77      14         AUDIO_DECODERS::open(AVCodecContext*, char const*, AVIOContext*, int) [54]
                0.59    0.00       5/5           sceWma_open [60]
                0.15    0.00       7/7           sceMp3Aac_open [80]
                0.04    0.00       2/2           ffmpegAdec_open [114]
                0.00    0.00       1/58          get_ext(char const*) [3513]
-----------------------------------------------
                0.00    0.00      19/188381      go_UpOneDir(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, PMC_LIST&, unsigned int&, unsigned int&) [72]
                0.00    0.00      64/188381      show_filelist(bool) [3]
                0.00    0.00     793/188381      push_folder(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, char const*) [59]
                0.75    0.00  187505/188381      void PMC_LIST::print<DIR_ENTRY>(unsigned int, unsigned int, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&) [18]
[55]     0.3    0.75    0.00  188381         DIR_ENTRY::operator()() const [55]
-----------------------------------------------
                0.18    0.53   41066/41066       show_nowplaying(char const*, char const*) [4]
[56]     0.2    0.18    0.53   41066         draw_fillRect(unsigned int, int, int, int, int) [56]
                0.53    0.00   41066/136347      shape_vertex* gu_allocVert<shape_vertex>(int) [35]
-----------------------------------------------
                0.05    0.00      14/168         avio_size [109]
                0.58    0.00     154/168         avio_seek [61]
[57]     0.2    0.64    0.00     168         pmc_avio_seek(void*, long long, int) [57]
-----------------------------------------------
                0.00    0.00      95/374646      go_UpOneDir(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, PMC_LIST&, unsigned int&, unsigned int&) [72]
                0.30    0.00  187046/374646      show_filelist(bool) [3]
                0.30    0.00  187505/374646      void PMC_LIST::print<DIR_ENTRY>(unsigned int, unsigned int, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&) [18]
[58]     0.2    0.61    0.00  374646         std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::operator[](unsigned int) [58]
-----------------------------------------------
                0.04    0.22      19/45          go_UpOneDir(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, PMC_LIST&, unsigned int&, unsigned int&) [72]
                0.05    0.30      26/45          show_filelist(bool) [3]
[59]     0.2    0.09    0.51      45         push_folder(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, char const*) [59]
                0.00    0.32      44/44          void std::sort<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >) [68]
                0.00    0.12    1046/1046        std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::push_back(DIR_ENTRY const&) [84]
                0.06    0.00      45/45          DIR_ENTRY::DIR_ENTRY() [108]
                0.00    0.00     793/807         PMC_SETTINGS::isNeeded(char const*, bool) [150]
                0.00    0.00     793/188381      DIR_ENTRY::operator()() const [55]
                0.00    0.00    1046/199921      DIR_ENTRY::isDir() const [64]
                0.00    0.00     793/8515        DIR_ENTRY::isReg() const [132]
                0.00    0.00      45/61782       std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::empty() const [47]
                0.00    0.00      45/45          std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::clear() [172]
                0.00    0.00      44/44          std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::begin() [3515]
                0.00    0.00      44/65          std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::end() [3512]
-----------------------------------------------
                0.59    0.00       5/5           AUDIO_DECODERS::open(AVCodecContext*, char const*, AVIOContext*, int) [54]
[60]     0.2    0.59    0.00       5         sceWma_open [60]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.2    0.00    0.58                 avio_seek [61]
                0.58    0.00     154/168         pmc_avio_seek(void*, long long, int) [57]
-----------------------------------------------
                0.00    0.58       5/5           main [1]
[62]     0.2    0.00    0.58       5         show_notdone() [62]
                0.21    0.00     247/62736       gu_sync() [5]
                0.00    0.12     247/62734       show_topbar(char const*) [11]
                0.11    0.00     247/62734       show_fps [12]
                0.10    0.00     247/62913       Pmc_Ctrl::read() [13]
                0.03    0.00     494/748139      PMC_FONT::print(char const*, float, float, float, int) [9]
                0.00    0.01     494/95281       draw_colorRect(unsigned int, unsigned int, unsigned int, unsigned int, int, int, int, int) [39]
                0.00    0.00    1976/609900      RGB(unsigned char, unsigned char, unsigned char, unsigned char) [38]
                0.00    0.00     494/583896      PMC_FONT::set_style(float, unsigned int, unsigned int, unsigned int) [34]
                0.00    0.00     247/62736       gu_end() [66]
                0.00    0.00       5/13          Pmc_Ctrl::flush(bool) [3526]
-----------------------------------------------
                0.00    0.51       7/7           PMC_SETTINGS::refresh() [51]
[63]     0.2    0.00    0.51       7         std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::push_back(NEEDED_EXT const&) [63]
                0.00    0.48       4/4           std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_insert_aux(__gnu_cxx::__normal_iterator<NEEDED_EXT*, std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> > >, NEEDED_EXT const&) [65]
                0.00    0.03       3/7           __gnu_cxx::new_allocator<NEEDED_EXT>::construct(NEEDED_EXT*, NEEDED_EXT const&) [106]
                0.00    0.00       4/4           std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::end() [3539]
-----------------------------------------------
                0.00    0.00    1046/199921      push_folder(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, char const*) [59]
                0.03    0.00   11985/199921      DIR_ENTRY::operator<(DIR_ENTRY const&) const [90]
                0.48    0.00  186890/199921      show_filelist(bool) [3]
[64]     0.2    0.51    0.00  199921         DIR_ENTRY::isDir() const [64]
-----------------------------------------------
                0.00    0.48       4/4           std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::push_back(NEEDED_EXT const&) [63]
[65]     0.2    0.00    0.48       4         std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_insert_aux(__gnu_cxx::__normal_iterator<NEEDED_EXT*, std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> > >, NEEDED_EXT const&) [65]
                0.07    0.20       4/4           std::_Vector_base<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_deallocate(NEEDED_EXT*, unsigned int) [70]
                0.00    0.09       4/5           void std::_Destroy<NEEDED_EXT*, NEEDED_EXT>(NEEDED_EXT*, NEEDED_EXT*, std::allocator<NEEDED_EXT>&) [89]
                0.00    0.08       8/8           NEEDED_EXT* std::__uninitialized_move_a<NEEDED_EXT*, NEEDED_EXT*, std::allocator<NEEDED_EXT> >(NEEDED_EXT*, NEEDED_EXT*, NEEDED_EXT*, std::allocator<NEEDED_EXT>&) [105]
                0.00    0.04       4/7           __gnu_cxx::new_allocator<NEEDED_EXT>::construct(NEEDED_EXT*, NEEDED_EXT const&) [106]
                0.00    0.00       4/4           std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_check_len(unsigned int, char const*) const [177]
                0.00    0.00      12/13          std::_Vector_base<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_get_Tp_allocator() [3527]
                0.00    0.00       8/8           __gnu_cxx::__normal_iterator<NEEDED_EXT*, std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> > >::base() const [3530]
                0.00    0.00       4/4           std::_Vector_base<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_allocate(unsigned int) [3538]
-----------------------------------------------
                0.00    0.00     247/62736       show_notdone() [62]
                0.01    0.00     872/62736       main [1]
                0.13    0.00   20551/62736       show_filelist(bool) [3]
                0.25    0.00   41066/62736       show_nowplaying(char const*, char const*) [4]
[66]     0.1    0.39    0.00   62736         gu_end() [66]
-----------------------------------------------
                0.09    0.26   61782/61782       std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::empty() const [47]
[67]     0.1    0.09    0.26   61782         bool __gnu_cxx::operator==<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&) [67]
                0.26    0.00  123564/123564      __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::base() const [71]
-----------------------------------------------
                0.00    0.32      44/44          push_folder(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, char const*) [59]
[68]     0.1    0.00    0.32      44         void std::sort<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >) [68]
                0.00    0.20      44/44          void std::__final_insertion_sort<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >) [77]
                0.00    0.13      44/44          void std::__introsort_loop<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, int>(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, int) [81]
                0.00    0.00      44/420         __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::difference_type __gnu_cxx::operator-<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&) [155]
                0.00    0.00      44/1106        bool __gnu_cxx::operator!=<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&) [147]
                0.00    0.00      44/44          std::__lg(int) [3516]
-----------------------------------------------
                0.01    0.00      96/3321        void std::__introsort_loop<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, int>(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, int) [81]
                0.02    0.00     269/3321        DIR_ENTRY* std::__uninitialized_copy<false>::uninitialized_copy<DIR_ENTRY*, DIR_ENTRY*>(DIR_ENTRY*, DIR_ENTRY*, DIR_ENTRY*) [120]
                0.04    0.00     527/3321        void std::swap<DIR_ENTRY>(DIR_ENTRY&, DIR_ENTRY&) [112]
                0.05    0.00     587/3321        void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >) [95]
                0.07    0.00     796/3321        void std::__insertion_sort<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >) [92]
                0.09    0.00    1046/3321        __gnu_cxx::new_allocator<DIR_ENTRY>::construct(DIR_ENTRY*, DIR_ENTRY const&) [97]
[69]     0.1    0.28    0.00    3321         DIR_ENTRY::DIR_ENTRY(DIR_ENTRY const&) [69]
-----------------------------------------------
                0.07    0.20       4/4           std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_insert_aux(__gnu_cxx::__normal_iterator<NEEDED_EXT*, std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> > >, NEEDED_EXT const&) [65]
[70]     0.1    0.07    0.20       4         std::_Vector_base<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_deallocate(NEEDED_EXT*, unsigned int) [70]
                0.20    0.00       3/3           __gnu_cxx::new_allocator<NEEDED_EXT>::deallocate(NEEDED_EXT*, unsigned int) [76]
-----------------------------------------------
                0.26    0.00  123564/123564      bool __gnu_cxx::operator==<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&) [67]
[71]     0.1    0.26    0.00  123564         __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::base() const [71]
-----------------------------------------------
                0.00    0.26      19/19          show_filelist(bool) [3]
[72]     0.1    0.00    0.26      19         go_UpOneDir(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, PMC_LIST&, unsigned int&, unsigned int&) [72]
                0.04    0.22      19/45          push_folder(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, char const*) [59]
                0.00    0.00      19/698         PMC_FONT::txtlen(char const*) [118]
                0.00    0.00     114/404230      std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::size() const [41]
                0.00    0.00      19/61782       std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::empty() const [47]
                0.00    0.00      95/374646      std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::operator[](unsigned int) [58]
                0.00    0.00      19/188381      DIR_ENTRY::operator()() const [55]
                0.00    0.00      76/154         DIR_ENTRY::operator==(char const*) const [3509]
                0.00    0.00      19/26          PMC_LIST::select_item(unsigned int, unsigned int&, unsigned int&) [3521]
-----------------------------------------------
                0.12    0.00   61782/123564      std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::begin() const [74]
                0.12    0.00   61782/123564      std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::end() const [75]
[73]     0.1    0.24    0.00  123564         __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::__normal_iterator(DIR_ENTRY const* const&) [73]
-----------------------------------------------
                0.12    0.12   61782/61782       std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::empty() const [47]
[74]     0.1    0.12    0.12   61782         std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::begin() const [74]
                0.12    0.00   61782/123564      __gnu_cxx::__normal_iterator<DIR_ENTRY const*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::__normal_iterator(DIR_ENTRY const* const&) [73]
-----------------------------------------------
