Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.03    287.29     0.09       45     0.00     0.01  push_folder(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, char const*)
  0.03    287.37     0.08    42868     0.00     0.00  AUDIO_DECODERS::get_str(int)
  0.03    287.45     0.08        1     0.08     0.08  PMC_FONT::PMC_FONT(char const*, unsigned int)
  0.02    287.52     0.07        4     0.02     0.07  std::_Vector_base<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_deallocate(NEEDED_EXT*, unsigned int)
  0.02    287.58     0.06       45     0.00     0.00  DIR_ENTRY::DIR_ENTRY()
  0.02    287.63     0.05     5753     0.00     0.00  alphabetical_cmp
  0.02    287.68     0.05    20551     0.00     0.00  void PMC_LIST::print<DIR_ENTRY>(unsigned int, unsigned int, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&)
  0.02    287.72     0.05        1     0.05   193.13  main
  0.01    287.76     0.04        2     0.02     0.02  ffmpegAdec_open
  0.01    287.80     0.04      877     0.00     0.00  PMC_PLAYER::get_percentRemaining(long long)
  0.01    287.83     0.03        7     0.00     0.00  Pmc_Image::invalidate()
  0.01    287.86     0.03        7     0.00     0.02  alloc_tgaSpace(int, TARGAHEAD*)
  0.01    287.88     0.03      698     0.00     0.00  PMC_FONT::txtlen(char const*)
  0.01    287.90     0.02        1     0.02     0.02  gu_init()
  0.01    287.93     0.02                             sceWma_close
  0.01    287.94     0.02    13133     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::operator*() const
  0.01    287.96     0.02       14     0.00     0.00  sceMp3Aac_close
  0.01    287.98     0.02        1     0.02     0.09  Pmc_Ctrl::wait(unsigned int, unsigned int const*)
  0.00    287.99     0.01     8515     0.00     0.00  DIR_ENTRY::isReg() const
  0.00    288.00     0.01     6679     0.00     0.00  DIR_ENTRY::operator<(DIR_ENTRY const&) const
  0.00    288.02     0.01     3908     0.00     0.00  DIR_ENTRY::operator=(DIR_ENTRY const&)
  0.00    288.03     0.01     2929     0.00     0.00  PMC_PLAYER::sceaudio_callback(void*, int&, AVPacket&)
  0.00    288.04     0.01        8     0.00     0.00  NEEDED_EXT::~NEEDED_EXT()
  0.00    288.05     0.01        6     0.00     0.00  PMC_PLAYER::seek(long long)
  0.00    288.05     0.01       21     0.00     0.00  __gnu_cxx::new_allocator<DIR_ENTRY>::deallocate(DIR_ENTRY*, unsigned int)
  0.00    288.06     0.01     4530     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::base() const
  0.00    288.06     0.00      879     0.00     0.00  PMC_PLAYER::exceed_duration(long long)
  0.00    288.07     0.00     3854     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::operator--()
  0.00    288.07     0.00      968     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, DIR_ENTRY>(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, DIR_ENTRY)
  0.00    288.07     0.00      807     0.00     0.00  PMC_SETTINGS::isNeeded(char const*, bool)
  0.00    288.07     0.00                             ffmpegAdec_close
  0.00    288.08     0.00     3038     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::operator++()
  0.00    288.08     0.00     1329     0.00     0.00  operator new(unsigned int, void*)
